Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Bai,,Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Mengqi
531,3.5888,,,531,37.6566,
532,3.59097,,,532,37.8212,
533,3.59301,,,533,38.0456,
534,3.5973,,,534,38.1805,
535,3.59853,,,535,38.3156,
536,3.59835,,,536,38.4754,
537,3.61029,,,537,38.6907,
538,3.61657,,,538,38.8846,
539,3.61529,,,539,39.0379,
540,3.61478,,,540,39.1545,
541,3.61334,,,541,39.2812,
542,3.60432,,,542,39.434,
543,3.57084,,,543,39.645,
544,3.53949,,,544,39.8148,
545,3.51814,,,545,39.9359,
546,3.5163,,,546,40.0035,
547,3.50862,,,547,40.0345,
548,3.49488,,,548,40.0663,
549,3.47622,,,549,40.1348,
550,3.46133,,,550,40.2044,
551,3.45375,,,551,40.2603,
552,3.45585,,,552,40.2908,
553,3.44702,,,553,40.3574,
554,3.43375,,,554,40.3642,
555,3.41783,,,555,40.282,
556,3.39512,,,556,40.2203,
557,3.37603,,,557,40.2301,
558,3.36257,,,558,40.2749,
559,3.34847,,,559,40.118,
560,3.34046,,,560,39.9924,
561,3.33478,,,561,39.9145,
562,3.3217,,,562,39.8485,
563,3.30332,,,563,39.7395,
564,3.28632,,,564,39.6132,
565,3.28217,,,565,39.5305,
566,3.2703,,,566,39.3824,
567,3.25512,,,567,39.2289,
568,3.24191,,,568,39.1304,
569,3.23867,,,569,38.9942,
570,3.23248,,,570,38.8352,
571,3.21784,,,571,38.6597,
572,3.212,,,572,38.4414,
573,3.20985,,,573,38.2609,
574,3.20922,,,574,38.1312,
575,3.20721,,,575,38.0032,
576,3.20568,,,576,37.8674,
577,3.20381,,,577,37.7317,
578,3.19882,,,578,37.6203,
579,3.19652,,,579,37.5257,
580,3.19496,,,580,37.4242,
581,3.19116,,,581,37.2833,
582,3.19323,,,582,37.1929,
583,3.19482,,,583,37.1117,
584,3.1917,,,584,37.0106,
585,3.19495,,,585,36.9037,
586,3.19872,,,586,36.8344,
587,3.20188,,,587,36.816,
588,3.21309,,,588,36.7925,
589,3.21397,,,589,36.757,
590,3.21014,,,590,36.7327,
591,3.2211,,,591,36.7814,
592,3.22718,,,592,36.816,
593,3.22997,,,593,36.8507,
594,3.23246,,,594,36.9114,
595,3.23957,,,595,36.9478,
596,3.24332,,,596,36.9919,
597,3.24159,,,597,37.0622,
598,3.25624,,,598,37.1662,
599,3.26762,,,599,37.2779,
600,3.27237,,,600,37.3906,
601,3.28073,,,601,37.5118,
602,3.27881,,,602,37.6449,
603,3.27597,,,603,37.7717,
604,3.29121,,,604,37.8595,
605,3.28913,,,605,37.9866,
606,3.28076,,,606,38.1394,
607,3.27389,,,607,38.3098,
608,3.27014,,,608,38.4835,
609,3.27346,,,609,38.6798,
610,3.27957,,,610,38.8881,
611,3.26584,,,611,39.033,
612,3.24991,,,612,39.2612,
613,3.23822,,,613,39.5211,
614,3.23648,,,614,39.6861,
615,3.22886,,,615,39.8588,
616,3.22076,,,616,40.0294,
617,3.21567,,,617,40.1933,
618,3.20678,,,618,40.3711,
619,3.19169,,,619,40.5388,
620,3.17222,,,620,40.6989,
621,3.15658,,,621,40.8858,
622,3.13716,,,622,41.0442,
623,3.11765,,,623,41.1768,
624,3.10186,,,624,41.2916,
625,3.08173,,,625,41.4178,
626,3.06416,,,626,41.5288,
627,3.05056,,,627,41.6078,
628,3.02561,,,628,41.65,
629,3.00166,,,629,41.6691,
630,2.97923,,,630,41.6684,
631,2.95582,,,631,41.6478,
632,2.93025,,,632,41.7143,
633,2.90221,,,633,41.7548,
634,2.87218,,,634,41.7172,
635,2.84304,,,635,41.6929,
636,2.8183,,,636,41.6672,
637,2.79522,,,637,41.6287,
638,2.76184,,,638,41.5474,
639,2.73309,,,639,41.4636,
640,2.70159,,,640,41.3763,
641,2.66029,,,641,41.2814,
642,2.62718,,,642,41.1776,
643,2.59985,,,643,41.0784,
644,2.57315,,,644,40.9702,
645,2.53272,,,645,40.8022,
646,2.50095,,,646,40.5886,
647,2.46745,,,647,40.3661,
648,2.42159,,,648,40.1661,
649,2.37971,,,649,39.9182,
650,2.34521,,,650,39.664,
651,2.31416,,,651,39.4017,
652,2.27001,,,652,39.0848,
653,2.23266,,,653,38.7736,
654,2.19728,,,654,38.455,
655,2.16051,,,655,38.1219,
656,2.12118,,,656,37.7804,
657,2.0789,,,657,37.443,
658,2.0376,,,658,37.1034,
659,2.00382,,,659,36.7485,
660,1.96775,,,660,36.3563,
661,1.93317,,,661,35.9617,
662,1.89956,,,662,35.5678,
663,1.84937,,,663,35.0643,
664,1.81377,,,664,34.5929,
665,1.78465,,,665,34.1589,
666,1.75054,,,666,33.7502,
667,1.70599,,,667,33.3409,
668,1.66692,,,668,32.9048,
669,1.63512,,,669,32.4343,
670,1.59943,,,670,31.934,
671,1.56662,,,671,31.4558,
672,1.53386,,,672,30.9955,
673,1.49998,,,673,30.5498,
674,1.46817,,,674,30.1195,
675,1.43819,,,675,29.6621,
676,1.40735,,,676,29.191,
677,1.37268,,,677,28.7333,
678,1.33904,,,678,28.2575,
679,1.30306,,,679,27.7618,
680,1.2671,,,680,27.2673,
681,1.23822,,,681,26.8198,
682,1.21212,,,682,26.3506,
683,1.18582,,,683,25.8448,
684,1.15766,,,684,25.32,
685,1.12895,,,685,24.8858,
686,1.10197,,,686,24.4154,
687,1.0755,,,687,23.9209,
688,1.04838,,,688,23.4295,
689,1.02266,,,689,23.0012,
690,0.995257,,,690,22.5476,
691,0.968862,,,691,22.0906,
692,0.947001,,,692,21.6757,
693,0.923493,,,693,21.2605,
694,0.90029,,,694,20.816,
695,0.876876,,,695,20.3474,
696,0.85107,,,696,19.8932,
697,0.826748,,,697,19.4034,
698,0.802968,,,698,18.9578,
699,0.780094,,,699,18.5564,
700,0.760739,,,700,18.0973,
701,0.739531,,,701,17.6831,
702,0.717507,,,702,17.2713,
703,0.696386,,,703,16.8451,
704,0.680105,,,704,16.4435,
705,0.661785,,,705,16.0748,
706,0.643028,,,706,15.7011,
707,0.625118,,,707,15.3063,
708,0.608882,,,708,14.9196,
