Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Bai,,Wvl.,Ref. Rad. [μW/cm^2/sr/nm],Mengqi
1110,1.00E-14,,,1110,0.020644,
1111,1.00E-14,,,1111,0.0193887,
1112,1.00E-14,,,1112,0.0183844,
1113,0,,,1113,0.0172445,
1114,0,,,1114,0.0159679,
1115,0,,,1115,0.0147101,
1116,0,,,1116,0.0134644,
1117,0,,,1117,0.0122262,
1118,0,,,1118,0.0110416,
1119,0,,,1119,0.00987356,
1120,0,,,1120,0.00864374,
1121,0,,,1121,0.0072539,
1122,0,,,1122,0.00546422,
1123,0,,,1123,0.00358135,
1124,0,,,1124,0.00206369,
1125,0,,,1125,0.00135815,
1126,0,,,1126,0.00152395,
1127,0,,,1127,0.00215067,
1128,0,,,1128,0.00279987,
1129,1.00E-14,,,1129,0.00308453,
1130,1.00E-14,,,1130,0.0031843,
1131,1.00E-14,,,1131,0.00318709,
1132,1.00E-14,,,1132,0.00309142,
1133,0.000108263,,,1133,0.00284282,
1134,0.000399456,,,1134,0.00226342,
1135,0.00078833,,,1135,0.00166046,
1136,0.00127264,,,1136,0.00140992,
1137,0.00193909,,,1137,0.00189018,
1138,0.00296171,,,1138,0.00310283,
1139,0.0039457,,,1139,0.00454803,
1140,0.00444489,,,1140,0.00570083,
1141,0.00402466,,,1141,0.00609741,
1142,0.00277482,,,1142,0.00589359,
1143,0.00127898,,,1143,0.00560559,
1144,0.000134292,,,1144,0.00575406,
1145,1.00E-14,,,1145,0.00660228,
1146,1.00E-14,,,1146,0.00785295,
1147,1.00E-14,,,1147,0.00948264,
1148,1.00E-14,,,1148,0.0114804,
1149,1.00E-14,,,1149,0.0138742,
1150,1.00E-14,,,1150,0.0166689,
1151,1.00E-14,,,1151,0.019787,
1152,0,,,1152,0.0231504,
1153,0.00060244,,,1153,0.0266797,
1154,0.0014807,,,1154,0.0304372,
1155,0.00234343,,,1155,0.0345578,
1156,0.00290028,,,1156,0.0391764,
1157,0.00306802,,,1157,0.0443807,
1158,0.00301616,,,1158,0.0500606,
1159,0.00289093,,,1159,0.0560579,
1160,0.00283283,,,1160,0.0622253,
1161,0.00278036,,,1161,0.0687368,
1162,0.00272053,,,1162,0.0755131,
1163,0.00272438,,,1163,0.0822899,
1164,0.00285857,,,1164,0.088843,
1165,0.00310489,,,1165,0.0954905,
1166,0.00344329,,,1166,0.102033,
1167,0.00387139,,,1167,0.10804,
1168,0.00440004,,,1168,0.113166,
1169,0.00510469,,,1169,0.117785,
1170,0.00588442,,,1170,0.121702,
1171,0.00660036,,,1171,0.12453,
1172,0.00714858,,,1172,0.125886,
1173,0.00762696,,,1173,0.125715,
1174,0.00800033,,,1174,0.124479,
1175,0.00820155,,,1175,0.122679,
1176,0.00816804,,,1176,0.120617,
1177,0.0079093,,,1177,0.117903,
1178,0.00749224,,,1178,0.11477,
1179,0.00698536,,,1179,0.111528,
1180,0.00635882,,,1180,0.108333,
1181,0.00549692,,,1181,0.104961,
1182,0.00465635,,,1182,0.101545,
1183,0.00411502,,,1183,0.0982433,
1184,0.004062,,,1184,0.095063,
1185,0.00436059,,,1185,0.0918874,
1186,0.00485746,,,1186,0.0889344,
1187,0.005402,,,1187,0.086432,
1188,0.00612663,,,1188,0.0843037,
1189,0.00703843,,,1189,0.0824825,
1190,0.00779874,,,1190,0.0812107,
1191,0.00806858,,,1191,0.0807302,
1192,0.00762118,,,1192,0.0811596,
1193,0.0067374,,,1193,0.0823261,
1194,0.00582561,,,1194,0.0840176,
1195,0.00528963,,,1195,0.0860382,
1196,0.00522598,,,1196,0.088659,
1197,0.00536543,,,1197,0.0917408,
1198,0.00543885,,,1198,0.0948635,
1199,0.00517593,,,1199,0.0976676,
1200,0.00445952,,,1200,0.100628,
1201,0.00356937,,,1201,0.10346,
1202,0.002841,,,1202,0.105537,
1203,0.00258529,,,1203,0.106303,
1204,0.00275256,,,1204,0.106002,
1205,0.00316958,,,1205,0.104726,
1206,0.0036895,,,1206,0.102437,
1207,0.00430609,,,1207,0.0989939,
1208,0.00529297,,,1208,0.0942098,
1209,0.00620615,,,1209,0.0886086,
1210,0.00652932,,,1210,0.082776,
1211,0.00573646,,,1211,0.0770097,
1212,0.00390718,,,1212,0.070904,
1213,0.00179951,,,1213,0.0646708,
1214,0.000192736,,,1214,0.0585703,
1215,1.00E-14,,,1215,0.0525886,
1216,1.00E-14,,,1216,0.0465151,
1217,1.00E-14,,,1217,0.0407648,
1218,1.00E-14,,,1218,0.0357713,
1219,1.00E-14,,,1219,0.0318188,
1220,1.00E-14,,,1220,0.0286712,
1221,1.00E-14,,,1221,0.0260097,
1222,1.75E-05,,,1222,0.0235196,
1223,0.000330389,,,1223,0.0212986,
1224,0.000762435,,,1224,0.0193961,
1225,0.00112551,,,1225,0.0176067,
1226,0.001232,,,1226,0.015725,
1227,0.00100063,,,1227,0.0136424,
1228,0.000587401,,,1228,0.0115464,
1229,0.000180431,,,1229,0.00967677,
1230,1.00E-14,,,1230,0.00826525,
1231,1.00E-14,,,1231,0.00732186,
1232,1.00E-14,,,1232,0.00670497,
1233,1.00E-14,,,1233,0.00628643,
1234,0,,,1234,0.00598698,
1235,0,,,1235,0.00594978,
1236,0,,,1236,0.00603934,
1237,0,,,1237,0.00606886,
1238,0,,,1238,0.00587668,
1239,0,,,1239,0.00551452,
1240,0,,,1240,0.00511477,
1241,0,,,1241,0.00480709,
1242,0,,,1242,0.00465759,
1243,0,,,1243,0.00459361,
1244,0,,,1244,0.00460981,
1245,0,,,1245,0.00470398,
1246,0,,,1246,0.00492644,
1247,0,,,1247,0.00527558,
1248,0,,,1248,0.00562387,
1249,1.00E-14,,,1249,0.00584376,
1250,1.00E-14,,,1250,0.00593185,
1251,1.00E-14,,,1251,0.00593966,
1252,1.00E-14,,,1252,0.00586831,
1253,3.57E-05,,,1253,0.00571155,
1254,0.00034917,,,1254,0.00529925,
1255,0.000753112,,,1255,0.00478592,
1256,0.00106387,,,1256,0.00447699,
1257,0.00110256,,,1257,0.00463829,
1258,0.000845962,,,1258,0.00512584,
1259,0.000456217,,,1259,0.00591685,
1260,0.000106148,,,1260,0.00706236,
1261,1.00E-14,,,1261,0.00862741,
1262,1.00E-14,,,1262,0.0106675,
1263,1.00E-14,,,1263,0.0130443,
1264,1.00E-14,,,1264,0.0155966,
1265,0.000126893,,,1265,0.018224,
1266,0.000390665,,,1266,0.0210146,
1267,0.000702926,,,1267,0.0239668,
1268,0.00100972,,,1268,0.0270701,
1269,0.00130278,,,1269,0.0303728,
1270,0.00162005,,,1270,0.0339031,
1271,0.0019062,,,1271,0.0375027,
1272,0.002103,,,1272,0.0410085,
1273,0.00222432,,,1273,0.044628,
1274,0.00228895,,,1274,0.0483472,
1275,0.00224609,,,1275,0.0516705,
1276,0.00204385,,,1276,0.0541056,
1277,0.00156107,,,1277,0.0556257,
1278,0.000899132,,,1278,0.0564313,
1279,0.000283211,,,1279,0.0565416,
1280,1.00E-14,,,1280,0.055951,
1281,1.00E-14,,,1281,0.0544052,
1282,1.00E-14,,,1282,0.0521877,
1283,1.00E-14,,,1283,0.0497547,
1284,0,,,1284,0.0474839,
1285,0,,,1285,0.0451816,
1286,0,,,1286,0.042769,
1287,0,,,1287,0.040226,
1288,1.00E-14,,,1288,0.0374837,
1289,1.00E-14,,,1289,0.0344495,
1290,1.00E-14,,,1290,0.0313721,
1291,1.00E-14,,,1291,0.0285299,
1292,0.000324663,,,1292,0.0260816,
1293,0.000933847,,,1293,0.0238798,
1294,0.00156485,,,1294,0.0218668,
1295,0.001999,,,1295,0.01999,
1296,0.00219421,,,1296,0.0182201,
1297,0.00225435,,,1297,0.0165861,
1298,0.00217968,,,1298,0.0151231,
1299,0.00196907,,,1299,0.0138662,
1300,0.0015056,,,1300,0.0128154,
1301,0.000867531,,,1301,0.0119607,
1302,0.000273164,,,1302,0.0113085,
1303,1.00E-14,,,1303,0.0108817,
1304,1.00E-14,,,1304,0.0108551,
1305,1.00E-14,,,1305,0.0110231,
1306,1.00E-14,,,1306,0.0110624,
1307,0,,,1307,0.0106635,
1308,0,,,1308,0.0098264,
1309,0,,,1309,0.00886071,
1310,0,,,1310,0.00808979,
1311,0,,,1311,0.0077193,
1312,0,,,1312,0.0075737,
1313,0,,,1313,0.00763162,
1314,0,,,1314,0.00788838,
1315,0,,,1315,0.00850284,
1316,0,,,1316,0.00946976,
1317,0,,,1317,0.0103902,
1318,0,,,1318,0.0108625,
1319,0,,,1319,0.0105611,
1320,0,,,1320,0.00978192,
1321,0,,,1321,0.00905569,
1322,0,,,1322,0.00890533,
1323,0,,,1323,0.0094126,
1324,0,,,1324,0.0102735,
1325,0,,,1325,0.0112245,
1326,0,,,1326,0.0120462,
1327,0,,,1327,0.0129153,
1328,0,,,1328,0.0137657,
1329,0,,,1329,0.0144383,
1330,0,,,1330,0.0147662,
1331,0,,,1331,0.0147362,
1332,0,,,1332,0.0145942,
1333,0,,,1333,0.0146009,
1334,0,,,1334,0.0149386,
1335,0,,,1335,0.0154821,
1336,0,,,1336,0.0160741,
1337,0,,,1337,0.0165597,
1338,1.00E-14,,,1338,0.0169831,
1339,1.00E-14,,,1339,0.0173845,
1340,1.00E-14,,,1340,0.0176022,
1341,5.91E-05,,,1341,0.0174675,
1342,0.000537455,,,1342,0.0167323,
1343,0.00116498,,,1343,0.0156951,
1344,0.00172913,,,1344,0.0148401,
1345,0.00202658,,,1345,0.014611,
1346,0.00205175,,,1346,0.0149096,
1347,0.00196424,,,1347,0.0155316,
1348,0.00192549,,,1348,0.0163261,
1349,0.00207505,,,1349,0.017234,
1350,0.00236949,,,1350,0.0184315,
1351,0.00269817,,,1351,0.0196905,
1352,0.002953,,,1352,0.0207387,
1353,0.00309832,,,1353,0.0212961,
1354,0.00320108,,,1354,0.0214599,
1355,0.00320483,,,1355,0.0216667,
1356,0.0030489,,,1356,0.0223586,
1357,0.00264357,,,1357,0.0236562,
1358,0.00205039,,,1358,0.0253395,
1359,0.00143564,,,1359,0.027339,
1360,0.000961033,,,1360,0.0295917,
1361,0.000604493,,,1361,0.0322032,
1362,0.000314789,,,1362,0.0351058,
1363,9.58E-05,,,1363,0.0381232,
1364,1.00E-14,,,1364,0.0411048,
1365,1.00E-14,,,1365,0.0441495,
1366,1.00E-14,,,1366,0.047241,
1367,1.00E-14,,,1367,0.0503115,
1368,0.000134285,,,1368,0.0533382,
1369,0.000494399,,,1369,0.0564053,
1370,0.00086347,,,1370,0.0593873,
1371,0.00105524,,,1371,0.0621362,
1372,0.000908807,,,1372,0.0646957,
1373,0.000528194,,,1373,0.0671362,
1374,0.00014789,,,1374,0.0692112,
1375,1.57E-06,,,1375,0.0706733,
1376,0.000125002,,,1376,0.0714966,
1377,0.000406494,,,1377,0.0717912,
1378,0.00079206,,,1378,0.0715911,
1379,0.00124729,,,1379,0.0709299,
1380,0.0019552,,,1380,0.0698133,
1381,0.00273347,,,1381,0.0682161,
1382,0.0032722,,,1382,0.0661118,
1383,0.00326644,,,1383,0.0634447,
1384,0.00269011,,,1384,0.0601141,
1385,0.00188776,,,1385,0.0563286,
1386,0.00122723,,,1386,0.0523382,
1387,0.000988845,,,1387,0.0481832,
1388,0.00101796,,,1388,0.0436152,
1389,0.00111651,,,1389,0.0390665,
1390,0.0010941,,,1390,0.0350112,
1391,0.000855138,,,1391,0.0315142,
1392,0.000510022,,,1392,0.0283711,
1393,0.000177392,,,1393,0.0256525,
1394,1.00E-14,,,1394,0.02344,
1395,1.00E-14,,,1395,0.0220281,
1396,1.00E-14,,,1396,0.0211148,
1397,1.00E-14,,,1397,0.0201514,
1398,6.93E-05,,,1398,0.0186259,
1399,0.000325737,,,1399,0.0165971,
1400,0.000648648,,,1400,0.0143753,
1401,0.000972219,,,1401,0.0122386,
1402,0.00129694,,,1402,0.0103107,
1403,0.00169971,,,1403,0.00839121,
1404,0.00202592,,,1404,0.00666403,
1405,0.00210722,,,1405,0.00534049,
1406,0.00177022,,,1406,0.00452198,
1407,0.00111244,,,1407,0.00409542,
1408,0.00041879,,,1408,0.00399817,
1409,1.00E-14,,,1409,0.00417044,
1410,1.00E-14,,,1410,0.00474085,
1411,1.00E-14,,,1411,0.0056425,
1412,1.00E-14,,,1412,0.00662667,
1413,0.000217153,,,1413,0.00749647,
1414,0.00111541,,,1414,0.00847503,
1415,0.00216454,,,1415,0.00940898,
1416,0.00291848,,,1416,0.010027,
1417,0.00298076,,,1417,0.0100831,
1418,0.00245184,,,1418,0.00962815,
1419,0.00168971,,,1419,0.00889947,
1420,0.0010517,,,1420,0.00813688,
1421,0.000673885,,,1421,0.00732548,
1422,0.000374007,,,1422,0.00635344,
1423,0.000146284,,,1423,0.00548946,
1424,1.00E-14,,,1424,0.00500478,
1425,1.00E-14,,,1425,0.00500163,
1426,1.00E-14,,,1426,0.00530984,
1427,1.00E-14,,,1427,0.00575321,
1428,1.00E-14,,,1428,0.00617902,
1429,1.00E-14,,,1429,0.00667005,
1430,1.00E-14,,,1430,0.00722338,
1431,1.00E-14,,,1431,0.00779094,
1432,0.000117052,,,1432,0.00836121,
1433,0.000418681,,,1433,0.00900223,
1434,0.000750144,,,1434,0.00960435,
1435,0.000992205,,,1435,0.0100396,
1436,0.00110051,,,1436,0.0103051,
1437,0.00113656,,,1437,0.0104645,
1438,0.00110098,,,1438,0.0104068,
1439,0.000992912,,,1439,0.0100163,
1440,0.000750765,,,1440,0.00898413,
1441,0.000419045,,,1441,0.00757634,
1442,0.000117149,,,1442,0.00638741,
1443,1.00E-14,,,1443,0.00597612,
1444,1.00E-14,,,1444,0.00630394,
1445,1.00E-14,,,1445,0.00701255,
1446,1.00E-14,,,1446,0.00776815,
1447,0,,,1447,0.00834715,
1448,0,,,1448,0.00896057,
1449,0,,,1449,0.00953306,
1450,0,,,1450,0.00994605,
1451,0,,,1451,0.0100894,
1452,0,,,1452,0.0100321,
1453,0,,,1453,0.00994592,
1454,0,,,1454,0.0100026,
1455,0,,,1455,0.0102745,
1456,0,,,1456,0.0106243,
1457,0,,,1457,0.0108882,
1458,1.00E-14,,,1458,0.0109153,
1459,1.00E-14,,,1459,0.0107324,
1460,1.00E-14,,,1460,0.0104155,
1461,1.00E-14,,,1461,0.0100253,
1462,0.000308962,,,1462,0.00958698,
1463,0.00100294,,,1463,0.00905588,
1464,0.00167738,,,1464,0.00848194,
1465,0.0019804,,,1465,0.0079216,
1466,0.00167741,,,1466,0.00738624,
1467,0.001003,,,1467,0.00685088,
1468,0.000309022,,,1468,0.00631738,
1469,1.00E-14,,,1469,0.00577904,
1470,1.00E-14,,,1470,0.00514728,
1471,1.00E-14,,,1471,0.00452355,
1472,1.00E-14,,,1472,0.00406903,
1473,0,,,1473,0.00390867,
1474,0,,,1474,0.00394843,
1475,0,,,1475,0.00421672,
1476,0,,,1476,0.00477399,
1477,0,,,1477,0.00574181,
1478,0,,,1478,0.00711673,
1479,0,,,1479,0.00861351,
1480,0,,,1480,0.00994328,
1481,0,,,1481,0.0111478,
1482,0,,,1482,0.0122948,
1483,0,,,1483,0.0132725,
1484,0,,,1484,0.0139559,
1485,0,,,1485,0.0142437,
1486,0,,,1486,0.0143688,
1487,0,,,1487,0.0146171,
1488,0,,,1488,0.0152442,
1489,0,,,1489,0.0161674,
1490,0,,,1490,0.0170958,
1491,0,,,1491,0.0177354,
1492,0,,,1492,0.0180708,
1493,0,,,1493,0.0182111,
1494,0,,,1494,0.0180488,
1495,1.00E-14,,,1495,0.0174623,
1496,1.00E-14,,,1496,0.0162636,
1497,1.00E-14,,,1497,0.0147392,
1498,1.00E-14,,,1498,0.0132952,
1499,0.000445481,,,1499,0.0122442,
1500,0.00159213,,,1500,0.0114083,
1501,0.00286931,,,1501,0.0106956,
1502,0.00384473,,,1502,0.0100429,
1503,0.00429899,,,1503,0.00943579,
1504,0.00446685,,,1504,0.00891554,
1505,0.00434853,,,1505,0.00843014,
1506,0.00393092,,,1506,0.00792385,
1507,0.00297357,,,1507,0.00730263,
1508,0.00165997,,,1508,0.00665556,
1509,0.000463984,,,1509,0.00616281,
1510,1.00E-14,,,1510,0.00602307,
1511,1.00E-14,,,1511,0.00638442,
1512,1.00E-14,,,1512,0.00688389,
1513,1.00E-14,,,1513,0.00707961,
1514,0,,,1514,0.00666643,
1515,0,,,1515,0.00585102,
1516,0,,,1516,0.00487421,
1517,0,,,1517,0.00396951,
1518,0,,,1518,0.00299576,
1519,0,,,1519,0.00197813,
1520,0,,,1520,0.00121933,
1521,0,,,1521,0.00102056,
1522,0,,,1522,0.00145461,
1523,0,,,1523,0.00219856,
1524,0,,,1524,0.00289308,
1525,0,,,1525,0.00333772,
1526,0,,,1526,0.00374814,
1527,0,,,1527,0.00402847,
1528,0,,,1528,0.0040572,
1529,0,,,1529,0.00369938,
1530,0,,,1530,0.00306199,
1531,0,,,1531,0.0023864,
1532,0,,,1532,0.00190265,
1533,0,,,1533,0.00158759,
1534,0,,,1534,0.00134293,
1535,0,,,1535,0.00110755,
1536,0,,,1536,0.000824356,
1537,0,,,1537,0.000502672,
1538,0,,,1538,0.000206144,
1539,0,,,1539,0,
1540,0,,,1540,1.00E-14,
1541,0,,,1541,1.00E-14,
1542,0,,,1542,1.00E-14,
1543,0,,,1543,1.00E-14,
1544,0,,,1544,1.00E-14,
1545,0,,,1545,1.00E-14,
1546,0,,,1546,1.00E-14,
1547,1.00E-14,,,1547,0.000112901,
1548,1.00E-14,,,1548,0.000403859,
1549,1.00E-14,,,1549,0.000723544,
1550,1.00E-14,,,1550,0.000956854,
1551,0.000416194,,,1551,0.00105928,
1552,0.00109942,,,1552,0.00108796,
1553,0.00171499,,,1553,0.00104381,
1554,0.00196188,,,1554,0.00092131,
1555,0.00181553,,,1555,0.000661764,
1556,0.00146406,,,1556,0.000339128,
1557,0.00108405,,,1557,6.82E-05,
1558,0.000796036,,,1558,1.00E-14,
1559,0.000494924,,,1559,1.00E-14,
1560,0.000215365,,,1560,1.00E-14,
1561,1.37E-05,,,1561,1.00E-14,
1562,1.00E-14,,,1562,0,
1563,1.00E-14,,,1563,0,
1564,1.00E-14,,,1564,0,
1565,1.00E-14,,,1565,0,
1566,1.00E-14,,,1566,0,
1567,1.00E-14,,,1567,0,
1568,1.00E-14,,,1568,0,
1569,0.000125794,,,1569,0,
1570,0.000462661,,,1570,0,
1571,0.000800195,,,1571,0,
1572,0.0009557,,,1572,0,
1573,0.000811394,,,1573,1.00E-14,
1574,0.000485541,,,1574,1.00E-14,
1575,0.000149513,,,1575,1.00E-14,
1576,1.00E-14,,,1576,4.89E-05,
1577,1.00E-14,,,1577,0.000312312,
1578,1.00E-14,,,1578,0.000636824,
1579,1.00E-14,,,1579,0.000900488,
1580,0,,,1580,0.00101057,
1581,0,,,1581,0.00101621,
1582,0,,,1582,0.000977639,
1583,0,,,1583,0.0009524,
1584,0,,,1584,0.00097884,
1585,0,,,1585,0.00101713,
1586,0,,,1586,0.00100755,
1587,0,,,1587,0.000886981,
1588,0,,,1588,0.000620439,
1589,0,,,1589,0.000302943,
1590,0,,,1590,4.76E-05,
1591,0,,,1591,1.00E-14,
1592,0,,,1592,1.00E-14,
1593,0,,,1593,1.00E-14,
1594,0,,,1594,1.00E-14,
1595,0,,,1595,1.00E-14,
1596,0,,,1596,1.00E-14,
1597,0,,,1597,1.00E-14,
1598,0,,,1598,0.000151397,
1599,0,,,1599,0.000791305,
1600,0,,,1600,0.00150591,
1601,0,,,1601,0.00192175,
1602,0,,,1602,0.00172906,
1603,0,,,1603,0.00108915,
1604,0,,,1604,0.000374524,
1605,0,,,1605,1.00E-14,
1606,0,,,1606,1.00E-14,
1607,0,,,1607,1.00E-14,
1608,0,,,1608,1.00E-14,
1609,0,,,1609,0.000172593,
1610,0,,,1610,0.00068257,
1611,0,,,1611,0.00130724,
1612,0,,,1612,0.00192056,
1613,0,,,1613,0.00240212,
1614,0,,,1614,0.00282701,
1615,0,,,1615,0.00338941,
1616,0,,,1616,0.00429504,
1617,0,,,1617,0.00573087,
1618,0,,,1618,0.00735616,
1619,0,,,1619,0.00871672,
1620,0,,,1620,0.00950505,
1621,0,,,1621,0.00994008,
1622,0,,,1622,0.0101016,
1623,0,,,1623,0.01005,
1624,0,,,1624,0.00971008,
1625,0,,,1625,0.00909733,
1626,0,,,1626,0.00840861,
1627,0,,,1627,0.00782001,
1628,0,,,1628,0.0072713,
1629,0,,,1629,0.00672472,
1630,0,,,1630,0.00617715,
1631,0,,,1631,0.00560787,
1632,0,,,1632,0.00501361,
1633,0,,,1633,0.00445665,
1634,1.00E-14,,,1634,0.00400213,
1635,1.00E-14,,,1635,0.00371116,
1636,1.00E-14,,,1636,0.00349579,
1637,1.00E-14,,,1637,0.0032262,
1638,0.000123725,,,1638,0.00276955,
1639,0.000442692,,,1639,0.00212366,
1640,0.000788212,,,1640,0.00147704,
1641,0.0010283,,,1641,0.0010283,
1642,0.00107453,,,1642,0.000851821,
1643,0.00101511,,,1643,0.000846442,
1644,0.000983069,,,1644,0.000947491,
1645,0.00111435,,,1645,0.00112009,
1646,0.0014603,,,1646,0.00150864,
1647,0.0018466,,,1647,0.0019241,
1648,0.00207224,,,1648,0.00209817,
1649,0.00199076,,,1649,0.00178845,
1650,0.00169416,,,1650,0.00110575,
1651,0.00131675,,,1651,0.000382591,
1652,0.000986765,,,1652,1.00E-14,
1653,0.000659543,,,1653,1.00E-14,
1654,0.000331408,,,1654,1.00E-14,
1655,7.04E-05,,,1655,1.00E-14,
1656,1.00E-14,,,1656,1.00E-14,
1657,1.00E-14,,,1657,1.00E-14,
1658,1.00E-14,,,1658,1.00E-14,
1659,0,,,1659,0,
1660,0,,,1660,0.000276255,
1661,0,,,1661,0.000674986,
1662,0,,,1662,0.000992065,
1663,0,,,1663,0.00102772,
1664,0,,,1664,0.000751471,
1665,0,,,1665,0.000352751,
1666,0,,,1666,3.57E-05,
1667,0,,,1667,1.00E-14,
1668,0,,,1668,1.00E-14,
1669,0,,,1669,1.00E-14,
1670,0,,,1670,0,
1671,0,,,1671,0,
1672,0,,,1672,0,
1673,0,,,1673,0,
1674,0,,,1674,1.00E-14,
1675,0,,,1675,1.00E-14,
1676,0,,,1676,1.00E-14,
1677,0,,,1677,0,
1678,0,,,1678,0.000290953,
1679,0,,,1679,0.000707074,
1680,0,,,1680,0.00102453,
1681,0,,,1681,0.0010303,
1682,0,,,1682,0.000728117,
1683,0,,,1683,0.000320344,
1684,0,,,1684,1.66E-05,
1685,0,,,1685,1.00E-14,
1686,0,,,1686,1.00E-14,
1687,0,,,1687,1.00E-14,
1688,1.00E-14,,,1688,0,
1689,1.00E-14,,,1689,0,
1690,1.00E-14,,,1690,0,
1691,1.00E-14,,,1691,0,
1692,0.000184646,,,1692,0,
1693,0.000596354,,,1693,0,
1694,0.000975798,,,1694,0,
1695,0.00109466,,,1695,0,
1696,0.000859535,,,1696,0,
1697,0.00045189,,,1697,0,
1698,8.64E-05,,,1698,0,
1699,1.00E-14,,,1699,1.00E-14,
1700,1.00E-14,,,1700,1.00E-14,
1701,1.00E-14,,,1701,1.00E-14,
1702,0,,,1702,3.47E-05,
1703,0,,,1703,0.000668839,
1704,0,,,1704,0.0015204,
1705,0,,,1705,0.00215455,
1706,0,,,1706,0.00215455,
1707,0,,,1707,0.0015204,
1708,0,,,1708,0.000668839,
1709,0,,,1709,3.47E-05,
1710,0,,,1710,1.00E-14,
1711,0,,,1711,1.00E-14,
1712,0,,,1712,1.00E-14,
1713,0,,,1713,0,
1714,0,,,1714,0,
1715,0,,,1715,0,
1716,0,,,1716,0,
1717,0,,,1717,0,
1718,0,,,1718,0,
1719,0,,,1719,0,
1720,0,,,1720,0,
1721,0,,,1721,0,
1722,0,,,1722,0,
1723,0,,,1723,0,
1724,0,,,1724,0,
1725,0,,,1725,0,
1726,0,,,1726,0,
1727,0,,,1727,1.00E-14,
1728,0,,,1728,1.00E-14,
1729,0,,,1729,1.00E-14,
1730,0,,,1730,1.00E-14,
1731,0,,,1731,0.000193901,
1732,0,,,1732,0.00062845,
1733,0,,,1733,0.00103885,
1734,0,,,1734,0.00119236,
1735,0,,,1735,0.000953271,
1736,0,,,1736,0.000505183,
1737,0,,,1737,9.67E-05,
1738,0,,,1738,1.00E-14,
1739,0,,,1739,1.00E-14,
1740,0,,,1740,1.00E-14,
1741,0,,,1741,3.65E-05,
1742,0,,,1742,0.000641338,
1743,0,,,1743,0.00146471,
1744,0,,,1744,0.00219497,
1745,0,,,1745,0.00255257,
1746,0,,,1746,0.0025967,
1747,0,,,1747,0.00250353,
1748,0,,,1748,0.002437,
1749,0,,,1749,0.00250894,
1750,0,,,1750,0.00260853,
1751,0,,,1751,0.00256573,
1752,0,,,1752,0.00217538,
1753,0,,,1753,0.00131086,
1754,0,,,1754,0.0004165,
1755,0,,,1755,0,
1756,0,,,1756,0.000317778,
1757,0,,,1757,0.00108016,
1758,0,,,1758,0.00197572,
1759,0,,,1759,0.00274825,
1760,0,,,1760,0.00361209,
1761,0,,,1761,0.00442268,
1762,0,,,1762,0.00491389,
1763,0,,,1763,0.00482647,
1764,0,,,1764,0.00432361,
1765,0,,,1765,0.0038351,
1766,0,,,1766,0.00379001,
1767,0,,,1767,0.00429212,
1768,0,,,1768,0.0048737,
1769,0,,,1769,0.0050139,
1770,0,,,1770,0.0043183,
1771,0,,,1771,0.00307724,
1772,0,,,1772,0.0018118,
1773,0,,,1773,0.000981196,
1774,0,,,1774,0.000393456,
1775,0,,,1775,2.93E-05,
1776,0,,,1776,1.00E-14,
1777,0,,,1777,0.000450627,
1778,0,,,1778,0.0013464,
1779,0,,,1779,0.00222757,
1780,0,,,1780,0.00268794,
1781,0,,,1781,0.00281794,
1782,0,,,1782,0.00276069,
1783,0,,,1783,0.00260329,
1784,0,,,1784,0.00234998,
1785,0,,,1785,0.00196811,
1786,0,,,1786,0.00154524,
1787,0,,,1787,0.00115299,
1788,0,,,1788,0.000724696,
1789,0,,,1789,0.000315682,
1790,0,,,1790,1.98E-05,
1791,0,,,1791,1.00E-14,
1792,0,,,1792,1.00E-14,
1793,0,,,1793,1.00E-14,
1794,0,,,1794,0,
1795,0,,,1795,0,
1796,0,,,1796,0,
1797,0,,,1797,0,
1798,0,,,1798,1.00E-14,
1799,0,,,1799,1.00E-14,
1800,0,,,1800,1.00E-14,
1801,0,,,1801,0.000218723,
1802,0,,,1802,0.0010954,
1803,0,,,1803,0.00210039,
1804,0,,,1804,0.002805,
1805,0,,,1805,0.00309539,
1806,0,,,1806,0.00314832,
1807,0,,,1807,0.00297097,
1808,0,,,1808,0.00250836,
1809,0,,,1809,0.0015748,
1810,0,,,1810,0.000576028,
1811,0,,,1811,0,
1812,0,,,1812,0.000172544,
1813,0,,,1813,0.000768042,
1814,0,,,1814,0.00129729,
1815,0,,,1815,0.00131385,
1816,0,,,1816,0.000886232,
1817,0,,,1817,0.000337662,
1818,0,,,1818,1.00E-14,
1819,0,,,1819,1.00E-14,
1820,0,,,1820,1.00E-14,
1821,0,,,1821,1.00E-14,
1822,0,,,1822,0,
1823,0,,,1823,0,
1824,0,,,1824,0,
1825,0,,,1825,0,
1826,0,,,1826,0,
1827,0,,,1827,0,
1828,0,,,1828,0,
1829,0,,,1829,0,
1830,0,,,1830,0,
1831,0,,,1831,0,
1832,0,,,1832,0,
1833,0,,,1833,0,
1834,0,,,1834,0,
1835,0,,,1835,0,
1836,0,,,1836,0,
1837,0,,,1837,0,
1838,0,,,1838,0,
1839,0,,,1839,0,
1840,0,,,1840,0,
1841,0,,,1841,0,
1842,0,,,1842,0,
1843,0,,,1843,0,
1844,0,,,1844,0,
1845,0,,,1845,0,
1846,0,,,1846,0,
1847,0,,,1847,0,
1848,0,,,1848,0,
1849,0,,,1849,0,
